User,Tweets,Tweets_with_Emoji,Race
25037030,781,31,hispanic
586051133,478,82,hispanic
836648463739858944,669,57,white
574991874,293,93,white
737872277031751680,451,312,white
430380131,2092,25,black
325322438,399,225,black
129965673,684,217,white
458517938,771,118,asian
738178049691115521,46,10,asian
236340572,592,434,white
957779752080863233,1785,1156,white
843332539049828352,44,14,white
2857310406,20,4,white
4009329681,844,83,black
295359825,314,7,asian
115707034,912,167,white
2840534244,263,139,black
713658549839089664,56,2,asian
946430197473169411,575,45,white
968130704935497728,176,27,asian
711041288867594240,18,7,black
215714428,348,13,white
1219873675,221,15,white
519317651,636,228,white
761854717228113920,569,428,white
877347961595973632,71,67,black
2684766721,228,30,white
1574420533,374,17,white
19655895,134,23,white
270512097,367,65,white
717136606268952576,1418,240,white
4564704859,296,78,asian
424332699,2325,1080,white
3889974040,964,744,white
3245676207,20,6,white
147359842,479,172,black
943957613171134464,989,23,asian
932801868568215553,126,9,asian
1056023822,815,184,black
789446385816969216,441,96,white
385668781,2374,740,white
946018791678361600,9,1,asian
941848516221009922,886,19,asian
845132671332200449,18,4,asian
959528253236170752,189,97,white
914213979043586048,192,60,white
2784340130,240,37,black
355237289,337,55,white
2547236874,1818,75,black
379816474,182,14,white
514790802,120,79,hispanic
969931806328827904,933,10,white
221028380,237,4,white
1450682028,1128,155,white
3045083372,1049,49,white
3180014568,89,3,asian
480119487,221,105,black
2909303471,385,94,white
913109594637049858,1331,76,white
732393144466046977,177,76,white
2782216770,178,17,asian
958507838808223744,21,3,black
1731978145,8,5,asian
314929886,2410,427,black
154755279,1244,5,white
1078994335,425,265,white
919054693220810752,571,383,asian
3403204221,1037,95,black
972833270680309762,6,1,white
3316652978,1038,575,white
4847859766,1960,172,white
392576932,1096,230,white
712484660060753925,477,86,asian
901112674146295808,248,154,white
768139060447703040,575,127,white
953396258865139714,298,84,white
1267845439,243,3,white
751766892,32,1,white
72719354,2705,163,white
2840795608,425,90,white
2479828500,20,5,white
141613140,550,55,asian
443064651,1171,158,white
