User,Tweets,Tweets_with_Emoji,Gender
3865360055,395,15,female
723884583477874688,402,23,male
2640285473,8,1,female
966331189463212033,719,83,male
2925643590,133,11,male
2539970178,150,90,male
911555559886921728,2859,449,female
806123213377785856,736,192,female
737643090,498,171,male
907298192462635008,185,39,female
762848898385784832,289,27,female
908594002584231936,3203,148,female
4882253906,246,145,female
3843183314,29,8,female
276050759,55,6,female
1040312450,1528,66,female
794581375,394,157,male
751149207378100224,1022,207,female
3474551054,2561,283,male
3295582037,570,66,female
3176771474,516,107,male
2258064932,2379,55,female
855787920401346560,82,12,female
842067448706797573,211,3,male
762671333201223680,385,50,male
820372916722434048,2083,104,female
1544304907,36,10,female
50636347,1750,1,male
973231830123073536,202,77,female
2922237942,64,21,female
399483278,105,12,female
795466851853762561,113,4,female
611521569,372,210,female
383647711,362,24,female
2374690364,113,25,female
3805257737,134,3,female
66800461,124,3,female
27315204,1236,260,female
3419083090,7,6,female
209881576,673,1,male
1409248465,587,190,female
2370926503,65,39,male
958358228676501506,41,3,male
861526300132909057,311,28,female
889296608,1705,1081,female
423378923,550,8,female
806507568562601985,310,83,female
871348539443396608,258,217,male
2660128406,903,1,female
1134345763,1597,670,female
760123674,154,17,female
66959795,14,1,male
890352776634449920,58,1,female
57358236,1605,384,male
3431240609,529,5,male
3103539284,255,70,male
714997513145696257,152,11,male
19805682,622,86,male
1918186452,231,29,female
596829459,2228,65,female
756711539890130944,631,327,male
65111240,91,43,male
724164799903469569,1028,240,male
896861660865978369,3266,12,female
969557933334974464,47,1,female
883309098267267072,6,1,male
3213697075,2911,159,female
739056401104785409,64,3,male
4670467033,615,103,female
716844361,3,2,male
783333366586286082,202,9,female
4241865621,725,76,female
259245050,130,35,male
4009155676,1426,299,female
950884872263843840,593,146,male
4141906828,212,93,male
812870854476369920,68,17,male
40148116,93,25,female
876431634685284356,96,46,male
499154951,93,7,female
289796919,562,13,male
2729405793,1807,1297,female
3011096498,724,396,female
2535464954,429,1,male
1913246839,232,16,male
102693684,116,2,male
702981302,231,4,female
21645623,103,59,female
71107949,230,89,female
367236983,282,183,male
973249646926561281,6,4,male
2506163239,226,33,female
761418655896707072,90,7,female
185761143,1059,587,male
741794708,60,2,male
2637862377,406,186,female
771863535211147264,2515,240,female
2807311831,197,8,male
390403353,413,39,female
290696152,2036,102,female
468831150,77,70,male
728243346150412288,2982,114,female
285462156,74,24,male
953443951796568065,241,6,male
34090371,685,120,male
320336185,376,8,male
2726347072,668,227,male
860816490546819074,530,173,female
3490259472,49,7,male
585018986,1499,271,male
111502057,313,18,female
519341792,127,58,female
711706407603580929,1470,42,male
897136244651683840,1944,495,female
952435380187381761,2740,136,male
2936220132,205,23,male
3278208625,21,8,female
222879419,97,7,female
893628704814845952,3216,10,female
304622187,2829,158,male
853585540460945408,233,115,male
2933736430,54,10,male
1615625815,18,18,female
1317927918,2318,308,female
890169535,330,203,female
585191934,238,67,female
118175886,861,92,female
517805782,3223,6,male
1532212026,174,138,male
701645898053324800,321,34,female
2962458799,945,584,male
112570974,280,129,female
515333969,44,36,female
459754543,678,50,female
920321384752013312,224,33,female
927923988570914817,16,6,male
1704679736,56,25,female
4517927663,303,86,female
756955285516906496,806,268,male
31938592,2801,460,male
743457527665295360,545,142,male
883601550,32,20,male
493486340,14,1,male
703742265815130112,104,6,female
2628936875,1030,52,female
586866429,1302,1067,female
1585130407,94,8,female
737562925,743,49,female
1092840577,1052,125,male
486685426,16,5,female
916823853661167616,3229,407,female
407488041,2574,282,male
130350952,478,91,male
3228584158,710,174,female
2983205608,269,202,female
986585275,100,6,male
609746727,1192,565,female
152849161,2730,2,male
796038073238876162,81,7,female
3918424527,374,37,female
2530292364,353,51,female
2652823087,72,15,female
42176777,3193,5,male
842136471188443137,135,2,male
46455268,54,9,female
2550974234,687,149,female
772612997432967168,2697,178,female
129306477,3254,3254,female
881359703879569408,157,28,male
49155268,101,13,male
37453325,146,15,male
259251218,1959,78,female
881424148286758912,10,7,male
3313159745,94,42,female
238217317,1018,40,male
189920877,456,38,male
881150236101455872,1335,752,male
72699327,298,95,male
759109937297551365,174,2,male
958085050188402688,1339,300,male
823399057032757248,3158,259,female
2314281522,22,3,female
303880586,326,11,male
4804702454,32,8,male
777897726864338944,645,49,female
793030177433411584,12,1,male
898997794110939138,1954,1642,female
463884015,341,34,female
749525130397691904,87,6,male
880618729,919,699,female
196643105,198,18,female
780721071993466880,1194,7,female
386426985,2924,554,male
2580037398,235,118,female
729709226348707840,22,11,female
770319560369111042,1166,317,female
910992040485376001,1019,174,male
773632431433875456,3171,708,female
713163484486217728,813,137,male
2259384936,1000,63,female
970432227359252483,990,192,male
706630494969061377,362,122,male
4754192234,21,19,female
113331368,9,3,male
809845348801908738,282,282,female
384535851,1366,157,female
126850116,2699,390,female
1283925510,46,2,female
768106876303056896,1792,68,female
2220058647,29,27,female
961289431117451264,423,4,female
1461314485,819,135,female
786869608263262208,2379,527,female
253883349,184,19,male
920620712456605696,78,4,male
3187501244,2165,131,male
161965308,1567,379,female
3463818317,213,2,female
68140362,50,20,female
798976235556798464,1932,52,male
763804241282543617,86,1,female
3095163575,1469,128,female
1927440559,134,18,male
888352988527558657,60,54,male
212489991,385,334,female
272059290,102,2,male
852903292728479744,1812,199,male
275431215,1504,623,male
755690756430372864,240,1,female
399059223,1274,739,male
61939594,734,724,male
3010469552,32,7,female
