User,Tweets,Tweets_with_Emoji,Gender,Race
965572223322017792,0,0,female,black
1529942466,353,190,male,
3008309733,0,0,male,white
17387399,2772,5,male,white
342360538,102,0,male,white
1122729876,288,225,female,
967370367424606209,1330,36,,
942259369,467,3,,
4643120354,32,0,,
967312135,202,41,female,white
815965852117897216,0,0,,
313967638,0,0,,
874354558914314241,86,18,male,
289812639,0,0,male,asian
281545710,1749,565,,
773552592441991168,2174,1166,female,white
3355740253,706,92,,
266406955,3179,112,,
3044479463,65,14,,
77679057,295,1,,
595262158,287,110,male,white
967012368931696640,1047,176,male,asian
836282315349372929,396,9,,
937921628,2686,0,,
768363268519792641,0,0,,
66735029,379,4,,
789225704,1620,162,,
1893012709,3204,25,female,asian
4914376962,1523,277,,
881136762898202627,0,0,male,asian
816635431576014848,1102,195,,
371634828,104,41,female,white
780205651620339712,536,1,,
3323273855,139,38,female,hispanic
277290198,78,25,,
3225714152,0,0,,
905674529074167808,0,0,female,asian
3314751330,2883,122,,
189132905,51,2,,
42790388,687,29,female,white
742062883018805248,0,0,male,white
927632390050082817,2377,93,,
1358949212,356,2,,
704037426256338944,2952,906,,
903744019628527616,1158,80,male,
815903538672865280,0,0,,
1604586566,0,0,female,white
3002758080,1033,111,female,white
740086980,196,0,,
604189838,25,12,female,
759414530216722437,1549,145,,
926110886879727617,0,0,,
949828498805350400,0,0,,
3330279951,636,12,,
833145212490960897,55,23,,
3259623307,3223,0,,
70187093,119,17,female,white
2823519042,0,0,,
37977348,1350,11,,
771240373217742849,176,0,male,
814175634561835008,2096,5,female,white
1648661190,2536,115,male,white
870639749999894529,416,344,male,asian
2307635843,3265,0,,
2314774050,0,0,female,white
952187432199426048,158,23,,
162634096,1709,474,female,white
2919369888,3238,1,,
68714859,552,16,male,
744233227888508928,0,0,female,
117697890,87,1,,
801637318880727040,82,1,male,white
851265202909700099,231,91,,
201726926,250,126,,
821412978662764544,103,7,,
115711124,524,76,female,white
892418954,32,19,female,white
1909658130,1222,56,male,white
4854132027,1501,1094,female,black
916854076289282049,1800,457,female,black
2477232667,3260,0,female,white
2478125167,3215,52,,
125088110,207,0,male,white
927270173526118401,56,0,,
953254574424379392,0,0,male,asian
220649940,509,207,,
896147041750990848,3242,0,female,white
940419925050499073,3264,0,female,asian
2308262473,3232,0,,
19212258,344,2,male,white
957889709400666112,0,0,,
957916253808607232,28,14,male,black
4238504713,228,128,female,hispanic
2178291775,1222,582,,black
762124366754746369,199,70,female,
933289675581677568,2285,264,,
1860574981,1800,47,,
262779886,303,140,male,white
329435658,1539,232,female,
965564497057300480,0,0,,
2843658881,51,35,female,white
4888763153,0,0,female,white
384586630,346,188,female,
625848210,1692,11,male,white
4912985093,1425,81,male,asian
17388396,47,0,male,black
870197189838077952,48,38,,
3050997473,1387,1,,
1488287246,128,50,female,white
2888419308,724,121,,
265673211,910,116,male,black
743727813069406214,28,2,,
50137792,952,124,female,white
907419723733794817,0,0,,
898825844,727,46,female,white
986137489,0,0,,
867874253336526848,0,0,male,asian
367115017,0,0,female,
3011611751,165,73,female,white
2418249512,698,8,male,asian
3389321313,99,6,,
3058863542,2494,2,,
827592607714807808,1840,50,female,white
977503188,74,0,,
944862437823713280,1300,49,,
3153349002,3255,4,,
759790508994473985,0,0,,
786792009080025088,2676,191,,
959031452292689920,0,0,male,asian
2796179276,80,10,,
885435100594307072,301,2,,
954345724053000193,31,14,male,white
847445137059749889,0,0,,
234193225,294,64,,
2673758227,1899,319,,
2619631972,1757,168,,
1525479919,2482,341,,
631954876,206,13,,
3371452119,637,93,female,
2987302516,46,28,,
419167287,998,159,female,
2687479818,0,0,male,asian
3250532755,80,27,,
35009743,1465,817,male,black
1366418629,0,0,,
805685396,109,9,,
167712813,1984,577,female,
883891869251362816,74,20,,
888295616698171393,267,34,,
2829275130,175,2,male,white
3319438810,1589,1002,,
973694288029765633,0,0,,
819167941,0,0,,
490119466,1200,41,,
369834695,383,0,male,white
825392772177866752,1249,430,female,black
832971174971797504,66,30,male,asian
884768421623152640,1060,4,,
944856052293439488,0,0,,
797412505056317440,730,221,female,white
532017837,1058,57,female,black
4057599493,59,0,male,asian
848495513351602177,538,13,,
972632973127270400,0,0,female,black
800796466432221196,0,0,,
2924900366,44,0,,
3311367927,239,53,female,
938048622763094016,777,10,male,white
2552736471,1005,179,male,white
768456288841838592,1,0,female,hispanic
970166924423262208,7,2,male,
953013513961787392,0,0,female,white
1094164424,310,0,,
50871101,0,0,male,hispanic
131238884,0,0,,
374102346,176,15,,
868071553,0,0,,
154526468,239,51,,
439470267,0,0,female,white
850480053808967680,232,57,,
36864891,0,0,female,white
228862653,0,0,,
292968439,0,0,male,asian
1542346255,0,0,female,white
806556257754742784,0,0,,
956759602124619776,2665,0,,
2425947342,89,31,,
906250620,88,18,female,white
2420850724,0,0,,
968490015037652992,25,0,,
849451674276171776,284,26,,
887349901,17,6,,
1524045096,3174,1416,,
700769876,55,5,,
931189302578511872,40,1,male,
2885332327,0,0,,
919178055796498433,848,17,,
762802086,95,36,,
774928561,101,2,,
762852764741357568,1578,232,female,white
806039460802535424,56,8,,
