Emoji,P-value,ethnicity
🤟🏽,8.410747308826031e-08,hispanic
🤾🏽‍♂️,1.2644213316325045e-07,not hispanic
🇭🇰,1.2644213316325045e-07,not hispanic
👩‍👩‍👦‍👦,1.2644213316325045e-07,not hispanic
🚋,1.2644213316325045e-07,not hispanic
🤸🏼‍♀️,1.2644213316325045e-07,not hispanic
💁🏿‍♂️,1.2644213316325045e-07,not hispanic
💅🏿,1.2644213316325045e-07,not hispanic
🖲,1.2644213316325045e-07,not hispanic
📇,1.2644213316325045e-07,not hispanic
🏷,1.2644213316325045e-07,not hispanic
🗃,1.2644213316325045e-07,not hispanic
🙍,1.2644213316325045e-07,not hispanic
🇸🇩,1.2644213316325045e-07,not hispanic
👩🏽‍🍳,1.2644213316325045e-07,not hispanic
👩🏻‍⚖️,1.2644213316325045e-07,not hispanic
🇰🇵,1.2644213316325045e-07,not hispanic
🥮,1.2644213316325045e-07,not hispanic
👨🏽‍🔬,1.2644213316325045e-07,not hispanic
🤾‍♀️,1.2644213316325045e-07,not hispanic
🧗🏽‍♀️,1.2644213316325045e-07,not hispanic
👨‍🏭,1.2644213316325045e-07,not hispanic
👩🏿‍🎓,1.2644213316325045e-07,not hispanic
👴🏿,1.2644213316325045e-07,not hispanic
👨‍👨‍👧,1.2644213316325045e-07,not hispanic
👩‍👩‍👧‍👦,1.2644213316325045e-07,not hispanic
🇬🇾,1.2644213316325045e-07,not hispanic
👩‍👩‍👦,1.2644213316325045e-07,not hispanic
🚴🏼‍♀️,1.2644213316325045e-07,not hispanic
👨🏼,1.2644213316325045e-07,not hispanic
👩🏼‍🏫,1.2644213316325045e-07,not hispanic
👴🏽,1.2644213316325045e-07,not hispanic
🧚🏽‍♂️,1.2644213316325045e-07,not hispanic
🇱🇰,1.2644213316325045e-07,not hispanic
👦🏽,1.2644213316325045e-07,not hispanic
👩🏽‍🔬,1.2644213316325045e-07,not hispanic
👱,1.2644213316325045e-07,not hispanic
🅿,1.2644213316325045e-07,not hispanic
👶🏾,1.2644213316325045e-07,not hispanic
🇻🇪,1.2644213316325045e-07,not hispanic
👩‍👧‍👦,1.2644213316325045e-07,not hispanic
🚶🏾,1.2644213316325045e-07,not hispanic
🥶,1.2644213316325045e-07,not hispanic
🚸,1.2644213316325045e-07,not hispanic
👨🏿‍🍳,1.2644213316325045e-07,not hispanic
🇸🇱,1.2644213316325045e-07,not hispanic
🛀🏼,1.2644213316325045e-07,not hispanic
🇦🇩,1.2644213316325045e-07,not hispanic
👶🏿,1.2644213316325045e-07,not hispanic
🇧🇮,1.2644213316325045e-07,not hispanic
💆🏽,1.2644213316325045e-07,not hispanic
👩🏽‍🎨,1.2644213316325045e-07,not hispanic
🚴🏾‍♀️,1.2644213316325045e-07,not hispanic
🕣,1.2644213316325045e-07,not hispanic
🤷🏿,1.2644213316325045e-07,not hispanic
👨🏼‍🍳,1.2644213316325045e-07,not hispanic
🇲🇨,1.2644213316325045e-07,not hispanic
🇬🇩,1.2644213316325045e-07,not hispanic
🤽🏻‍♀️,1.2644213316325045e-07,not hispanic
🧚🏾,1.2644213316325045e-07,not hispanic
👩‍💼,1.2644213316325045e-07,not hispanic
🙆🏼‍♂️,1.2644213316325045e-07,not hispanic
🇱🇨,1.2644213316325045e-07,not hispanic
🇵🇷,1.2644213316325045e-07,not hispanic
⛹️‍♂️,1.2644213316325045e-07,not hispanic
♾,1.2644213316325045e-07,not hispanic
📭,1.2644213316325045e-07,not hispanic
🏄🏾‍♂️,1.2644213316325045e-07,not hispanic
👩🏾‍🔬,1.2644213316325045e-07,not hispanic
🧒,1.2644213316325045e-07,not hispanic
👨‍⚖️,1.2644213316325045e-07,not hispanic
👩🏿‍⚖️,1.2644213316325045e-07,not hispanic
👨🏿‍💻,1.2644213316325045e-07,not hispanic
⛹🏾‍♂️,1.2644213316325045e-07,not hispanic
🤹🏾‍♂️,1.2644213316325045e-07,not hispanic
👩‍👩‍👧,1.2644213316325045e-07,not hispanic
🦸‍♂️,1.2644213316325045e-07,not hispanic
👩‍⚖️,1.2644213316325045e-07,not hispanic
🇵🇾,1.2644213316325045e-07,not hispanic
👩🏼‍🚀,1.2644213316325045e-07,not hispanic
🦘,1.2644213316325045e-07,not hispanic
🚶🏼‍♂️,1.2644213316325045e-07,not hispanic
🇪🇹,1.2644213316325045e-07,not hispanic
◀,1.2644213316325045e-07,not hispanic
🏋🏻‍♀️,1.2644213316325045e-07,not hispanic
🏄🏽‍♂️,1.2644213316325045e-07,not hispanic
👩‍🔧,1.2644213316325045e-07,not hispanic
👨🏾‍🎓,1.2644213316325045e-07,not hispanic
⏮,1.2644213316325045e-07,not hispanic
🇨🇺,1.2644213316325045e-07,not hispanic
↙,1.2644213316325045e-07,not hispanic
👩🏻‍🌾,1.2644213316325045e-07,not hispanic
🤱🏻,1.2644213316325045e-07,not hispanic
🦐,1.871887016864987e-07,hispanic
😮,3.265493300821215e-07,hispanic
💈,4.276313035599647e-06,hispanic
🧗🏻‍♀️,5.387648681487455e-06,not hispanic
🧜🏼‍♂️,5.387648681487455e-06,hispanic
🤳🏾,5.387648681487455e-06,not hispanic
👨‍👨‍👦,5.387648681487455e-06,not hispanic
👩‍👦,5.387648681487455e-06,not hispanic
📨,5.387648681487455e-06,not hispanic
👩‍👧‍👧,5.387648681487455e-06,not hispanic
👱🏻‍♂️,5.387648681487455e-06,not hispanic
💇🏼‍♀️,5.387648681487455e-06,not hispanic
👨‍👨‍👧‍👧,5.387648681487455e-06,not hispanic
